FI_PAISCU|FI_CANALCU|FI_SUCURSALCU|FI_FOLIOCU|FI_COD_IDENTIFICADOR|FI_MARCA
1|1|1656|10502|4|1
1|1|2155|38331|4|1
1|9|5691|21049|4|1
1|1|1104|26480|4|1
1|1|195|18599|4|1
1|1|6761|23722|4|1
1|9|1763|11973|4|1
1|1|8757|2249170|4|1
1|1|144|39359|4|1
1|1|5306|98388|4|1
1|1|5173|6701|4|1
1|1|7100|88973|4|1
1|1|4598|76944|4|1
1|39|2717|6852|4|1
1|9|6263|2705|4|1
1|39|5083|4081|4|1
1|1|2228|12371|4|1
1|1|1588|77585|4|1
1|1|5869|15062|4|1
1|1|4449|25548|4|1
1|1|6570|89925|4|1
1|1|6095|34465|4|1
1|1|8638|56590|4|1
1|1|8187|2452|4|1
1|9|3278|7175|4|1
1|9|6672|7904|4|1
1|1|1656|12184|4|1
1|9|6673|18346|4|1
1|1|5762|135441|4|1
1|33|9546|754953|4|1
1|1|9115|87904|4|1
1|1|5212|82002|4|1
1|1|3330|1413|4|1
1|1|7320|4905|4|1
1|39|4862|13789|4|1
1|39|2674|714|4|1
1|1|3803|50334|4|1
1|1|5429|9834|4|1
1|1|6253|52023|4|1
1|1|8757|3000228|4|1
1|1|2106|22555|10|1
1|9|8695|6412|4|1
1|9|8531|13356|10|1
1|51|5444|76870|4|1
1|1|5306|105415|4|1
1|1|7537|144339|4|1
1|1|168|72855|10|1
1|1|2765|62006|11|1
1|1|6813|13585|11|1
1|1|6444|26307|11|1
1|1|8501|42144|11|1
1|1|2927|69801|11|1
1|20|1707|12316|11|1
1|9|8298|7825|11|1
1|1|2749|45471|11|1
1|1|199|109685|4|1
1|1|4491|116121|11|1
1|1|8089|102568|11|1
1|1|1672|4152|11|1
1|1|7566|95414|11|1
1|9|1759|16571|11|1
1|1|195|21153|11|1
1|1|259|53340|11|1
1|3|3156|778|11|1
1|1|2138|111019|11|1
1|1|4815|42997|11|1
1|1|5424|47668|11|1
1|1|2017|32525|11|1
1|9|753|28042|4|1
1|1|118|117634|11|1
1|1|1795|6279|11|1
1|1|8017|16972|11|1
1|1|107|86078|11|1
1|9|9847|3265|4|1
1|1|1067|7290|11|1
1|9|8319|5788|11|1
1|1|1037|108746|11|1
1|1|151|26965|4|1
1|1|1089|130488|11|1
1|39|5881|11557|4|1
1|1|9741|2498|4|1
1|3|8743|30193|4|1
1|1|3020|2906|4|1
1|1|5953|80978|4|1
1|1|5979|84132|10|1
1|1|7582|30422|4|1
1|1|3023|99633|4|1
1|1|1565|23758|10|1
1|33|9546|173174|4|1
1|1|4378|150349|4|1
1|1|5021|179738|4|1
1|1|2956|4851|4|1
1|1|2054|59445|4|1
1|39|5929|408|4|1
1|1|6512|95211|4|1
1|1|5131|76715|10|1
1|1|631|91130|4|1
1|1|4912|106304|11|1
1|1|2817|86515|4|1
1|1|7993|567|4|1
1|1|7265|68865|11|1
1|9|8298|8544|11|1
1|1|2050|24230|11|1
1|1|8003|5164|11|1
1|39|4697|13757|11|1
1|1|178|125862|11|1
1|1|4637|21865|11|1
1|1|196|45817|11|1
1|1|2062|83668|4|1
1|1|2183|89884|4|1
1|1|2299|28242|4|1
1|1|6013|68973|11|1
1|1|3081|69774|10|1
1|1|592|52175|11|1
1|1|4461|9920|11|1
1|9|5900|10952|4|1
1|1|2161|125392|4|1
1|1|1591|37047|11|1
1|1|3094|98134|10|1
1|1|602|53207|11|1
1|9|8671|10977|11|1
1|1|6066|42211|4|1
1|9|2265|2725|11|1
1|1|1481|38578|11|1
1|9|5792|9199|11|1
1|1|8303|108565|4|1
1|1|2930|33970|11|1
1|1|9380|98679|11|1
1|1|3667|14266|11|1
1|39|4830|22064|4|1
1|1|7100|88915|4|1
1|9|8825|60138|11|1
1|1|9740|4858|11|1
1|1|3625|74861|4|1
1|1|8303|94744|4|1
1|2|9241|23320|4|1
1|1|2230|114145|11|1
1|1|188|511|11|1
1|1|3463|134477|11|1
1|9|8175|18943|4|1
1|9|8534|18125|4|1
1|1|1504|158774|11|1
1|1|3531|136659|11|1
1|1|2875|28709|11|1
1|9|5942|19090|11|1
1|1|3230|321970|11|1
1|1|9612|45337|4|1
1|1|4543|134690|4|1
1|1|2093|47433|4|1
1|1|5650|48412|11|1
1|1|3104|43608|11|1
1|1|2464|7972|4|1
1|3|9098|10549|11|1
1|33|9546|166396|4|1
1|1|7604|886652|4|1
1|1|206|39042|11|1
